PASSENGERS_sum,class_bf_frac,class_c_frac,orig_code,orig_name,orig_city,ORIGIN_STATE_ABR,orig_lat,orig_lon,dest_code,dest_name,dest_city,DEST_STATE_ABR,dest_lat,dest_lon,DISTANCE_mean
49.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,672.0
1.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,744.0
4236.0,0.0672804532578,0.932719546742,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,677.0
13.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,LGB,Long Beach /Daugherty Field/ Airport,Long Beach,CA,33.81769943,-118.1520004,664.0
9.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,630.0
1821.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,628.0
22.0,0.0,1.0,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,650.0
1.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,577.0
4.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,PDX,Portland International Airport,Portland,OR,45.58869934,-122.5979996,327.0
2.0,0.0,1.0,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,RDD,Redding Municipal Airport,Redding,CA,40.50899887,-122.2929993,101.0
1617.0,0.0315398886827,0.968460111317,ACV,Arcata Airport,Arcata CA,CA,40.97809982299805,-124.10900115966797,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,250.0
247.0,0.0728744939271,0.927125506073,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,39.22320175,-106.8690033,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,737.0
301.0,0.0,1.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,516.0
594.0,0.0,1.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,668.0
395.0,0.0,1.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,SCK,Stockton Metropolitan Airport,Stockton,CA,37.894199371338,-121.2379989624,625.0
167.0,0.0,1.0,AZA,Phoenix-Mesa-Gateway Airport,Mesa,AZ,33.30780029,-111.6549988,STS,Charles M. Schulz Sonoma County Airport,Santa Rosa,CA,38.50899887,-122.8130035,721.0
1.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,94.0
7.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619934082031,-119.71800231933594,100.0
2.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,LAS,McCarran International Airport,Las Vegas,NV,36.08010101,-115.1520004,224.0
7.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,109.0
2.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,126.0
1111.0,0.014401440144,0.985598559856,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43429946899414,-112.01200103759766,425.0
1.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,RNO,Reno Tahoe International Airport,Reno,NV,39.49909973144531,-119.76799774169922,283.0
5.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,215.0
1.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SBP,San Luis County Regional Airport,San Luis Obispo,CA,35.236801147499996,-120.641998291,91.0
450.0,0.00222222222222,0.997777777778,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,238.0
1.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,208.0
5.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,265.0
4.0,0.0,1.0,BFL,Meadows Field,Bakersfield,CA,35.43360138,-119.0569992,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,139.0
721.0,0.0,1.0,BLI,Bellingham International Airport,Bellingham,WA,48.79280090332031,-122.53800201416016,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,764.0
56.0,0.0,1.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,656.0
1538.0,0.0169050715215,0.983094928479,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,LAX,Los Angeles International Airport,Los Angeles,CA,33.94250107,-118.4079971,674.0
1810.0,0.0,1.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,OAK,Metropolitan Oakland International Airport,Oakland,CA,37.72129821777344,-122.22100067138672,512.0
74.0,0.0,1.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,ONT,Ontario International Airport,Ontario,CA,34.055999755859375,-117.60099792480469,660.0
1.0,0.0,1.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,PSP,Palm Springs International Airport,Palm Springs,CA,33.8297004699707,-116.50700378417969,672.0
576.0,0.00347222222222,0.996527777778,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SAN,San Diego International Airport,San Diego,CA,32.7336006165,-117.190002441,749.0
1544.0,0.0259067357513,0.974093264249,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SFO,San Francisco International Airport,San Francisco,CA,37.61899948120117,-122.375,522.0
607.0,0.00164744645799,0.998352553542,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SJC,Norman Y. Mineta San Jose International Airport,San Jose,CA,37.36259841918945,-121.92900085449219,523.0
1343.0,0.000744601638124,0.999255398362,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SMF,Sacramento International Airport,Sacramento,CA,38.69540023803711,-121.59100341796875,437.0
12.0,0.0,1.0,BOI,Boise Air Terminal/Gowen field,Boise,ID,43.56439972,-116.2229996,SNA,John Wayne Airport-Orange County Airport,Santa Ana,CA,33.67570114,-117.8679962,688.0
31.0,0.0,1.0,BUR,Bob Hope Airport,Burbank,CA,34.20069885253906,-118.35900115966797,ABQ,Albuquerque International Sunport Airport,Albuquerque,NM,35.040199279785156,-106.60900115966797,672.0
